RANKING,NIT,RAZON_SOCIAL,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,CIIU,DESCRIPCION_CIIU,AÑOS_EMPRESA,ACTIVOS_2023,PASIVOS_2023,PATRIMONIO_2023,INGRESOS_OPERACIONALES_2023,UTILIDAD_2023,ACTIVOS_2022,PASIVOS_2022,PATRIMONIO_2022,INGRESOS_OPERACIONALES_2022,UTILIDAD_2022,DIRECCION,TELEFONO,CELULAR,EMAIL,SUPERVISOR
1369,800129856,CLINICA DE LA COSTA S.A.S.,08,ATLÁNTICO,08001,BARRANQUILLA,8610,"Actividades de hospitales y clínicas, con internación",,216567000000.0,100962000000.0,115605000000.0,209590767000.0,16167680000.0,171921385000.0,72484097000.0,99437288000.0,205472513000.0,16868240000.0,,,,,SUPERSALUD
1370,890319193,SISTEMAS DE INFORMACION EMPRESARIAL SA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",42.93497604380561,101461799000.0,52313167000.0,49148632000.0,209526512000.0,31246505000.0,86895209000.0,58284881000.0,28610328000.0,167114448000.0,21510618000.0,AV 3AN 26N 83,4865888,3113336299,notificaciones@siesa.com,SUPERSOCIEDADES
1371,800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,1090,Elaboración de alimentos preparados para animales,29.90280629705681,137819765000.0,128683054000.0,9136711000.0,209403392000.0,-8388085000.0,166703508000.0,150878161000.0,15825347000.0,211054288000.0,-362611000.0,Carrera 50 FF 8 SUR 27 OF 520-521,3235996534,3206322278,charles.osorio@somexnutricion.com,SUPERSOCIEDADES
1372,800000750,PETROSANTANDER COLOMBIA GMBH,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,36.52292950034223,514068379000.0,145595406000.0,368472973000.0,209317296000.0,95081209000.0,631648582000.0,267605671000.0,364042911000.0,231535312000.0,-5333461000.0,CL 72 8 24 OF 1001,3493660,3176888141,petrosantander@petrosantander.com.co,SUPERSOCIEDADES
1373,900951033,FABISALUD IPS SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,8610,"Actividades de hospitales y clínicas, con internación",,309238000000.0,200520000000.0,108718000000.0,209034390000.0,17847098000.0,346090162000.0,254076139000.0,92014023000.0,213978211000.0,11576305000.0,,,,,SUPERSALUD
1374,900255181,HOGAR Y MODA SAS,05,ANTIOQUIA,05001,MEDELLÍN,4754,"Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",15.151266255989048,154539361000.0,74220013000.0,80319348000.0,208953248000.0,5085067000.0,151157491000.0,75940413000.0,75217078000.0,205703488000.0,6250285000.0,CR 50 52 22,4484443,3183513733,juridica@hogarymoda.com.co,SUPERSOCIEDADES
1375,805022296,NCS SAS,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,1410,"Confección de prendas de vestir, excepto prendas de piel",22.455852156057496,129445460000.0,67247821000.0,62197639000.0,208787424000.0,4164414000.0,156337536000.0,94485861000.0,61851675000.0,180820304000.0,3301706000.0,CL 64 A 5 94,4895000,3116054350,impuestos@quest.com.co,SUPERSOCIEDADES
1376,800246963,UNIVERSAL MUSIC COLOMBIA S.A.S ,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4669,Comercio al por mayor de otros productos n.c.p.,29.136208076659823,93468389000.0,80489116000.0,12979273000.0,208265808000.0,9617068000.0,93990979000.0,75128774000.0,18862205000.0,183347616000.0,14939554000.0,CALLE 103 NO 19 60,6015144122,3144702633,margarita.guerra@umusic.com,SUPERSOCIEDADES
1377,890203194,LABORATORIOS CHALVER DE COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",53.210130047912386,169189937000.0,60480584000.0,108709353000.0,208073568000.0,19607192000.0,152719458000.0,39977415000.0,112742043000.0,204956960000.0,26266536000.0,AV 68 37B 31 SUR,7245090,3132107828,NOTIFICACIONESCHALVER@CHALVER.COM,SUPERSOCIEDADES
1378,800066001,CENTRO MEDICO OFTALMOLOGICO Y LABORATORIO CLINICO ANDRADE NARVAEZ SOCIEDAD POR ACCIONES SIMPLIFICADA SIGLA COLCAN S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,8691,Actividades de apoyo diagnóstico,,232628000000.0,38813000000.0,193815000000.0,208066609000.0,24111979000.0,193679547000.0,29946063000.0,163733484000.0,192376320000.0,22301768000.0,,,,,SUPERSALUD
1379,901352353,CLINICA LA SAGRADA FAMILIA SAS,63,QUINDÍO,63001,ARMENIA,8610,"Actividades de hospitales y clínicas, con internación",,325396000000.0,17806000000.0,307590000000.0,207786355000.0,113930000000.0,221549450000.0,27567269000.0,193982181000.0,154188944000.0,82283956000.0,,,,,SUPERSALUD
1380,900466775,HIDROELECTRICA DEL ALTO PORCE S.A.S  E.S.P,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3511,Generación de energía eléctrica,,360506793000.0,143159369000.0,217347424000.0,207781379000.0,57516975000.0,353303137000.0,193472688000.0,159830449000.0,244274176000.0,80400522000.0,,,,,SUPERSERVICIOS
1381,860068255,COMPAÑIA DE SERVICIOS Y ADMINISTRACION S.A SERDAN S.A,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,45.08418891170431,310158356000.0,159147566000.0,151010790000.0,207759600000.0,-10564370000.0,304455524000.0,151570185000.0,152885339000.0,186853120000.0,906161000.0,CALLE 67 7 35,3487370,3168314326,impuestos@serdan.com.co,SUPERSOCIEDADES
1382,860350253,INMACULADA GUADALUPE Y AMIGOS SAS,25,CUNDINAMARCA,25175,CHÍA,5611,Expendio a la mesa de comidas preparadas,40.30116358658453,243338942000.0,177647577000.0,65691365000.0,207510352000.0,10094769000.0,253886160000.0,184638519000.0,69247641000.0,193264384000.0,15167829000.0,cl 3 11 a 56,6018612233,3176589512,administracion@andrescarnederes.com,SUPERSOCIEDADES
1383,830501618,FLORES ISABELITA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4620,Comercio al por mayor de materias primas agropecuarias; animales vivos,19.3347022587269,47587173000.0,27939752000.0,19647421000.0,207361648000.0,-3354451000.0,62909781000.0,40001371000.0,22908410000.0,179609936000.0,1392760000.0,CL 97 23 60 TO PROKSOL OF 702,6016683030,3174014851,floresisabelita@falconfarms.com.co,SUPERSOCIEDADES
1384,860025845,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL JARDINES DE LOS ANDES S.A.S,25,CUNDINAMARCA,25430,MADRID,0125,Cultivo de flor de corte,54.403832991101986,117870616000.0,113433687000.0,4436929000.0,207238800000.0,2124687000.0,126277371000.0,124757952000.0,1519419000.0,180640032000.0,232128000.0,AV CARRERA 19 No. 97-31 Of 206,3238030,3112910757,NOTIFICACIONESDIAN@JARANDES.COM,SUPERSOCIEDADES
1385,900039999,BERLLANO SA,05,ANTIOQUIA,05604,REMEDIOS,4632,Comercio al por mayor de bebidas y tabaco,18.431211498973305,23679992000.0,18187350000.0,5492642000.0,206982208000.0,1167724000.0,20765334000.0,16440416000.0,4324918000.0,179310976000.0,850589000.0,Barrio 7 de agosto parqueadero los orrego,6048315171,3218150954,berllanoltda@hotmail.com,SUPERSOCIEDADES
1386,901449478,EPAM SYSTEMS COLOMBIA S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",3.0444900752908968,74926400000.0,48705651000.0,26220749000.0,206928272000.0,8102373000.0,89533219000.0,69659254000.0,19873965000.0,232454272000.0,14523070000.0,Carrera. 11 No. 77A- 65,6468400,6016468400,camilo_rodriguez@epam.com,SUPERSOCIEDADES
1387,890707192,SUCAMPO-SULLANTA SAS,25,CUNDINAMARCA,25214,COTA,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",36.94455852156057,119785327000.0,85787731000.0,33997596000.0,206920192000.0,1940934000.0,121305182000.0,87648102000.0,33657080000.0,211038128000.0,7214300000.0,AUT MEDELLIN KM TRES PUNTO CUATRO CENTRO EMPRESARIAL METROPOLITANO MD 2 BG 36,5281683,3186951106,leandrobravo@sucampo.com.co,SUPERSOCIEDADES
1388,800201668,SEGURIDAD ONCOR LTDA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8010,Actividades de seguridad privada,,134758296215.0,73562948689.0,61195347526.0,206472446611.0,2445394985.0,131920645000.0,73170692000.0,58749952000.0,174189933000.0,3611925000.0,,,,,SUPERVIGILANCIA
1389,890982608,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,05,ANTIOQUIA,05001,MEDELLÍN,8610,"Actividades de hospitales y clínicas, con internación",,203745000000.0,36692000000.0,167053000000.0,206153742000.0,2864674000.0,211680361000.0,32888098000.0,178792263000.0,181384291000.0,5051000.0,,,,,SUPERSALUD
1390,900317003,COLENER S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,6613,Otras actividades relacionadas con el mercado de valores,14.22861054072553,2566179360000.0,154839223000.0,2411340137000.0,206082992000.0,200447345000.0,2307524177000.0,21164000.0,2307503013000.0,221449792000.0,221284632000.0,CRA 43 A 1 A SUR 143 PISO 5,3266600,3138768575,notijudicialcelsiaco@celsia.com,SUPERSOCIEDADES
1391,805001538,TECNOLOGÍAS AMBIENTALES DE COLOMBIA S.A.S  E.S.P. SUCURSAL ASEO URBANO DE LA COSTA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3822,Tratamiento y disposición de desechos peligrosos,,236811455000.0,76476330000.0,160335125000.0,205888975000.0,-13512638000.0,204424266000.0,147707184000.0,56717082000.0,181875561000.0,-7672391000.0,,,,,SUPERSERVICIOS
1392,807004307,ECOLOGICAS GRUPO EMPRESARIAL SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4799,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",24.142368240930868,951938798000.0,493544533000.0,458394265000.0,205874496000.0,90202505000.0,1128434872000.0,745519616000.0,382915256000.0,362011552000.0,296078314000.0,CRA 7 #76-35 OF 404,3115147563,3115147563,j.prieto@iecologicas.co,SUPERSOCIEDADES
1393,890922586,TEXCOMERCIAL - TEXCO S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,4690,Comercio al por mayor no especializado,44.76386036960986,64986774000.0,38672792000.0,26313982000.0,205848032000.0,2649684000.0,60305125000.0,29920675000.0,30384450000.0,213053728000.0,4772348000.0,CLL 16 B SUR 41 23,6043658888,3148145204,texco.imp@texcomercial.com.co,SUPERSOCIEDADES
1394,900579930,INDULACTEOS DE COLOMBIA SAS,68,SANTANDER,68001,BUCARAMANGA,1040,Elaboración de productos lácteos,11.025325119780971,73525438000.0,25022690000.0,48502748000.0,205797840000.0,8982691000.0,65534608000.0,25499491000.0,40035117000.0,213345888000.0,11916673000.0,CRA 17C # 57-28,6076446623,3156371294,comunicaciones@indulacteos.com,SUPERSOCIEDADES
1395,830093443,EXTRACTORA DEL SUR DE CASANARE SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",1032,Elaboración de aceites y grasas de origen vegetal refinados,22.20123203285421,41513581000.0,17100839000.0,24412742000.0,205627264000.0,371506000.0,48242123000.0,24200887000.0,24041236000.0,218218032000.0,2618017000.0,CR 11 82 01 P5,6515760,3223451113,ofbogota@palmares.com.co,SUPERSOCIEDADES
1396,806014553,TUVACOL SA,08,ATLÁNTICO,08001,BARRANQUILLA,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",20.40246406570842,238935879000.0,131851027000.0,107084852000.0,205495696000.0,11225741000.0,265450845000.0,163560400000.0,101890445000.0,238867088000.0,19885912000.0,VIA 40 67 240,3619797,3015016888,CONTABILIDADNAL@TUVACOL.COM,SUPERSOCIEDADES
1397,900182199,COLGENER SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",16.18343600273785,348083885000.0,3857167000.0,344226718000.0,204884072000.0,201889254000.0,280911080000.0,5186172000.0,275724908000.0,176636820000.0,173006336000.0,CALLE 90 13 A 20,5806060,3228498570,impuestos@termotasajero.com.co,SUPERSOCIEDADES
1398,900013167,DIAZ Y RESTREPO SAS,76,VALLE DEL CAUCA,76892,YUMBO,1084,Elaboración de comidas y platos preparados,18.806297056810404,79699999000.0,40870599000.0,38829400000.0,204880464000.0,20050905000.0,64806756000.0,36969507000.0,27837249000.0,164572080000.0,12890281000.0,KR 37 # 10 -303 BG 20,3216487379,3216487379,mmontero@srwok.com,SUPERSOCIEDADES
1399,890306372,ELECTROJAPONESA SA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,4754,"Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",52.20260095824778,172124585000.0,135779939000.0,36344646000.0,204686560000.0,628186000.0,184446255000.0,148729795000.0,35716460000.0,251140928000.0,4048501000.0,CR 7 10 51,8898989,3154134381,REVISORIAFISCAL@ELECTROJAPONESA.COM,SUPERSOCIEDADES
1400,890922113,DROPOPULAR S.A.S.,05,ANTIOQUIA,05001,MEDELLÍN,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",45.00479123887748,136504552000.0,70357723000.0,66146829000.0,204417328000.0,9174000.0,106425750000.0,40288095000.0,66137655000.0,126140312000.0,303537000.0,CARRERA 74 No. 53-145,6044804610,3116414835,admincontabilidad@dropopular.com.co,SUPERSOCIEDADES
1401,813011577,CLINICA UROS S.A.S - TORRE A,41,HUILA,41001,NEIVA,8610,"Actividades de hospitales y clínicas, con internación",,319866000000.0,172522000000.0,147344000000.0,204357196000.0,7127782000.0,331378956000.0,191163143000.0,140215813000.0,219582984000.0,3074479000.0,,,,,SUPERSALUD
1402,900407151,CI EMPAQUETADORA DEL NORTE SAS BIC,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,4631,Comercio al por mayor de productos alimenticios,12.960985626283367,110210757000.0,58178779000.0,52031978000.0,203819952000.0,8192775000.0,88005245000.0,44188102000.0,43817143000.0,200609456000.0,19770759000.0,CALLE 8N # 3A - 90 ZONA INDUSTRIAL,5792557,3134611489,empaquetadoradelnorte@ciempanorte.com,SUPERSOCIEDADES
1403,832006599,CSS CONSTRUCTORES SA,25,CUNDINAMARCA,25175,CHÍA,4210,Construcción de carreteras y vías de ferrocarril,22.050650239561943,2149627547000.0,745816628000.0,1403810919000.0,203784992000.0,29208570000.0,2232207103000.0,876025435000.0,1356181668000.0,347770368000.0,26962196000.0,Aut Norte km21 olimpica,6016671030,3174341003,notificaciones@css-constructores.com,SUPERSOCIEDADES
1404,900083408,DISTRIBUCIONES AGRALBA S.A. ,05,ANTIOQUIA,05360,ITAGÜÍ,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",17.678302532511978,95346483000.0,77839442000.0,17507041000.0,203474448000.0,4448567000.0,90342984000.0,75254110000.0,15088874000.0,195790416000.0,6118297000.0,CR 56 72 A 41,6043616622,3137370232,nvelandia@agralba.com,SUPERSOCIEDADES
1405,811004805,O-TEK INTERNACIONAL SAS,05,ANTIOQUIA,05001,MEDELLÍN,2229,Fabricación de artículos de plástico n.c.p.,27.68788501026694,214532969000.0,10687529000.0,203845440000.0,203312192000.0,162658177000.0,160517071000.0,53481208000.0,107035863000.0,42407688000.0,26659044000.0,Calle 19 A 43 B 41,3567000,3128967606,eliana.quiceno@o-tek.com,SUPERSOCIEDADES
1406,800118334,BELLEZA EXPRESS SA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",32.941820670773446,186782745000.0,68031732000.0,118751013000.0,203098096000.0,-1999164000.0,192363793000.0,71570303000.0,120793490000.0,201588032000.0,13582140000.0,CL 36  134 201 KM6 VIA CALI JAMUNDI,6025552255,3108432027,jrguzman@bivien.com,SUPERSOCIEDADES
1407,830037955,MASTERFOODS COLOMBIA LTDA - EFFEM COLOMBIA LTDA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4631,Comercio al por mayor de productos alimenticios,26.151950718685832,113918890000.0,92714870000.0,21204020000.0,203093472000.0,4398717000.0,121369051000.0,104563748000.0,16805303000.0,192421840000.0,8458890000.0,CL 109 20 44 AP 307,3209282625,3209282625,notificaciones@effem.com,SUPERSOCIEDADES
1408,860019041,LABORATORIOS ALCON DE COLOMBIA SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4665,"Comercio al por mayor de desperdicios, desechos y chatarra",56.46269678302532,200527354000.0,165355039000.0,35172315000.0,202739664000.0,8092130000.0,175770784000.0,148690599000.0,27080185000.0,199481376000.0,881308000.0,CALLE 93 16 31 PISO 3,6544666,3185779138,taxes.alcon@alcon.com,SUPERSOCIEDADES
1409,900572445,CIFIN SAS ,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",11.101984941820671,173998833000.0,65362222000.0,108636611000.0,202426672000.0,16998009000.0,156561456000.0,65559557000.0,91001899000.0,172286736000.0,12269669000.0,CL 100 N 7 A 81 P 8,6013441200,3164830561,notificaciones@transunion.com notificaciones@transunion.com,SUPERSOCIEDADES
1410,900067887,PETROLEOS COLOMBIANOS SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,17.916495550992472,212396940000.0,114928650000.0,97468290000.0,202201920000.0,62034380000.0,78296625000.0,42862715000.0,35433910000.0,61439108000.0,12975689000.0,CR 88 17 B 10 OF 401,3102680447,3102680447,contabilidad@petrolcosa.com,SUPERSOCIEDADES
1411,900389156,NOVENTIQ INTERNATIONAL COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6202,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,13.210130047912388,83872653000.0,81880319000.0,1992334000.0,202147952000.0,-17951262000.0,86166379000.0,94778138000.0,-8611759000.0,185657296000.0,-1190019000.0,Cr 15 # 91 - 30 P 4 Ed Anfora,3168772775,3168772775,yissel.villarreal@noventiq.com,SUPERSOCIEDADES
1412,900316197,GREEN SAS,52,NARIÑO,52001,PASTO,4731,Comercio al por menor de combustible para automotores,14.247775496235455,78351195000.0,39621123000.0,38730072000.0,202011424000.0,4525062000.0,73872247000.0,39395026000.0,34477221000.0,103901520000.0,3085824000.0,CL 13 77 25,4850760,3217816428,greensas@hotmail.com,SUPERSOCIEDADES
1413,901181764,C.I UPFIELD COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",1089,Elaboración de otros productos alimenticios n.c.p.,5.650924024640657,286814938000.0,209685974000.0,77128964000.0,201904800000.0,-27943837000.0,308214920000.0,203112761000.0,105102159000.0,195050464000.0,-7506626000.0,"CALLE 97A 8-10, Oficina 202",6017432726,3147228632,estefania.villegas@upfield.com,SUPERSOCIEDADES
1414,891501676,"HOSPITAL SUSANA LOPEZ DE VALENCIA, EMPRESA SOCIAL DEL ESTADO",19,CAUCA,19001,POPAYÁN,8610,"Actividades de hospitales y clínicas, con internación",,203552040000.0,28491837000.0,175060203000.0,201829673000.0,31208417000.0,156448137000.0,12596350000.0,143851787000.0,152413705000.0,4539400000.0,,,,,SUPERSALUD
1415,901180732,AMAZON OPERATION SERVICES COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8220,Actividades de centros de llamadas (call center),5.6974674880219025,137973205000.0,21138200000.0,116835005000.0,201747712000.0,-4961745000.0,158388507000.0,43195812000.0,115192695000.0,150374464000.0,1454220000.0,AC 26 92 32 ED E1 CENTRO EMPRESARIAL CONECTA,4046400,6014046400,amazoncs-col@amazon.com,SUPERSOCIEDADES
1416,806008047,BDP COLOMBIA SAS,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,5229,Otras actividades complementarias al transporte,23.6249144421629,63283261000.0,28999296000.0,34283965000.0,201744400000.0,7080303000.0,81028062000.0,53824401000.0,27203661000.0,251399664000.0,10903195000.0,MAMONAL KM 1 BLOCK PORT P 2 OF 23,6571322,3135040515,carlos.pareja@psabdp.com,SUPERSOCIEDADES
1417,900451379,BORETS SERVICES LTD SUCURSAL COLOMBIA,25,CUNDINAMARCA,25286,FUNZA,4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,12.465434633812457,155452653000.0,97808302000.0,57644351000.0,201440208000.0,8534036000.0,167694587000.0,104638221000.0,63056366000.0,190065632000.0,17919201000.0,KM 3.5 VIA FUNZA - SIBERIA,8267584,3112521269,impuestos.colombia@levare.com,SUPERSOCIEDADES
1418,900562939,INVERCAFE CERRITOS SAS,66,RISARALDA,66001,PEREIRA,1061,Trilla de café,11.225188227241615,31210384000.0,29799271000.0,1411113000.0,201339328000.0,209168000.0,24560374000.0,23758429000.0,801945000.0,147749872000.0,106234000.0,CALLE 10  17 21 PINARES ED LAGUITOS APTO 202,3337211,3112380169,contabilidad@invercafe.com.co,SUPERSOCIEDADES
1419,800106404,OCUPAR TEMPORALES SA,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,7820,Actividades de empresas de servicios temporales,33.451060917180016,35763220000.0,20057603000.0,15705617000.0,200910400000.0,590497000.0,34634254000.0,19462915000.0,15171339000.0,189962032000.0,1327292000.0,AVDA 8N 23N 76,4879999,3226951373,coordinacontable@ocupar.com.co,SUPERSOCIEDADES
1420,860075684,MOTO MART S.A.,25,CUNDINAMARCA,25175,CHÍA,4653,Comercio al por mayor de maquinaria y equipo agropecuarios,43.83025325119781,206425407000.0,91090097000.0,115335310000.0,200847472000.0,27304548000.0,209896946000.0,121275104000.0,88621842000.0,196138288000.0,12486109000.0,CRT CENTRAL NTE KM 9,6016761314,3103016827,administracion@motomart.com.co,SUPERSOCIEDADES
1421,860002127,INDUSTRIA COLOMBIANA DE LLANTAS SA  ,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",81.11156741957564,134906841000.0,67576856000.0,67329985000.0,200322944000.0,8001475000.0,157333826000.0,93418399000.0,63915427000.0,281053792000.0,3426748000.0,CARRERA 45 108 27 TORRE 1 OFC 1001,4291000,3137218807,notificaciones.judiciales@michelin.com,SUPERSOCIEDADES
1422,860021302,WESTON SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",2819,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,56.876112251882276,146930607000.0,68028872000.0,78901735000.0,200228480000.0,22265787000.0,150035726000.0,92399778000.0,57635948000.0,136396368000.0,16968384000.0,CALLE 16 65 B 82,6012907700,3123636327,weston@weston.com.co,SUPERSOCIEDADES
1423,900149596,ASISFARMA S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,143709000000.0,110013150000.0,33695850000.0,200205234000.0,5064551000.0,83773806000.0,55168445000.0,28605361000.0,160469386000.0,3403092000.0,,,,,SUPERSALUD
1424,900362666,CUCUTA MOTOR S.A.S.,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,4511,Comercio de vehículos automotores nuevos,13.557837097878165,36602369000.0,14798364000.0,21804005000.0,200022816000.0,15194433000.0,26911176000.0,20301604000.0,6609572000.0,160504128000.0,15464463000.0,CR 7 10-502 AUTOPISTA INTERNACIONAL,5840910,3164073146,contacto@cucutamotors.com.co,SUPERSOCIEDADES
1425,901508279,CORDOBA RESOURCES SAS,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",2.406570841889117,145094710000.0,98941051000.0,46153659000.0,199909248000.0,1818110000.0,59277374000.0,61652340000.0,-2374966000.0,3236000.0,-2375966000.0,CLL 14A NRO 4E 76 ED CENTRO INTERNACIONAL DE DESARROLLO AOBOS,3186088972,3186088972,administracion@cordobares.co,SUPERSOCIEDADES
1426,800180330,COMPAÑÍA DE ALIMENTOS COLOMBIANOS CALCO S.A.,05,ANTIOQUIA,05001,MEDELLÍN,5611,Expendio a la mesa de comidas preparadas,31.156741957563312,75963748000.0,51128180000.0,24835568000.0,199887136000.0,10294552000.0,67394147000.0,52853131000.0,14541016000.0,149422624000.0,5443767000.0,CR 43A 25A 85,6043496810,3137313058,servicios.administrativosmde@crepesywaffles.com,SUPERSOCIEDADES
1427,830095169,DSM NUTRITIONAL PRODUCTS COLOMBIA SA,25,CUNDINAMARCA,25817,TOCANCIPÁ,2029,Fabricación de otros productos químicos n.c.p.,22.12457221081451,122447831000.0,79801291000.0,42646540000.0,199725216000.0,7384827000.0,154717850000.0,119456137000.0,35261713000.0,204091840000.0,-2870042000.0,PARQUE INDUSTRIAL TIBITOC LOTE 41B Y 42B,6015873540,3153364991,Wilson.Carrillo@dsm-firmenich.com,SUPERSOCIEDADES
1428,900434331,MINERALES CORDOBA SAS,05,ANTIOQUIA,05001,MEDELLÍN,0722,Extracción de oro y otros metales preciosos,12.70362765229295,82515803000.0,24691477000.0,57824326000.0,199700880000.0,119309152000.0,80170586000.0,55347159000.0,24823427000.0,0.0,-27733212000.0,CR 42 5 SUR  47 Piso 18,6046051507,3122754518,contabilidad@cordobamineralscorp.com,SUPERSOCIEDADES
1429,860000189,CARCO S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4511,Comercio de vehículos automotores nuevos,77.03764544832306,31223940000.0,21148520000.0,10075420000.0,199520944000.0,8391493000.0,23695212000.0,19016957000.0,4678255000.0,162151072000.0,9085368000.0,CALLE 13 43 64,3681488,3157788688,doris.asencio@carco.com.co.,SUPERSOCIEDADES
1430,800042175,PRODUCTOS QUIMICOS ANDINOS SAS,25,CUNDINAMARCA,25214,COTA,2229,Fabricación de artículos de plástico n.c.p.,35.36755646817249,168155029000.0,80499695000.0,87655334000.0,199507072000.0,24895061000.0,215246256000.0,155552466000.0,59693790000.0,233979056000.0,13900167000.0,AUT MEDELLIN KM 1.5 COSTADO SUR BG 20 PARQUE INDUSTRIAL LA FLORIDA,6068742060,3002568218,niifcontabilidad@pqa.com.co,SUPERSOCIEDADES
1431,900303957,INDUSTRIA NUTRICIONAL AVICOLA SAS,50,META,50001,VILLAVICENCIO,4631,Comercio al por mayor de productos alimenticios,14.480492813141684,29082179000.0,23976879000.0,5105300000.0,199413680000.0,310548000.0,22732447000.0,17937695000.0,4794752000.0,188458432000.0,-316710000.0,CLL 32 34 15,3202403463,3202403463,financiera@avellano.com.co,SUPERSOCIEDADES
1432,830045768,VPC COLOMBIA S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4631,Comercio al por mayor de productos alimenticios,25.57700205338809,50204310000.0,34977810000.0,15226500000.0,199397920000.0,14480135000.0,59367523000.0,58621158000.0,746365000.0,201646816000.0,709976000.0,AV KR 80 2 51 SUR SECTOR CAJONES INT 24 CORABASTOS,4021844,3214480974,colombia@vpcom.com,SUPERSOCIEDADES
